2023-11-27 09:06:59.368 GMT | main | INFO | org.springframework.boot.StartupInfoLogger.logStarting:55 | Starting CityWanderBackend v1.0 using Java 17-ea on 9693f6f504a4 with PID 1 (/app/app.jar started by root in /)
2023-11-27 09:06:59.380 GMT | main | INFO | org.springframework.boot.SpringApplication.logStartupProfileInfo:645 | No active profile set, falling back to 1 default profile: "default"
2023-11-27 09:07:01.992 GMT | main | INFO | org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:132 | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-11-27 09:07:02.189 GMT | main | INFO | org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:201 | Finished Spring Data repository scanning in 175 ms. Found 1 MongoDB repository interfaces.
2023-11-27 09:07:04.693 GMT | main | INFO | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:108 | Tomcat initialized with port(s): 8080 (http)
2023-11-27 09:07:04.732 GMT | main | INFO | org.apache.juli.logging.DirectJDKLog.log:173 | Initializing ProtocolHandler ["http-nio-8080"]
2023-11-27 09:07:04.733 GMT | main | INFO | org.apache.juli.logging.DirectJDKLog.log:173 | Starting service [Tomcat]
2023-11-27 09:07:04.734 GMT | main | INFO | org.apache.juli.logging.DirectJDKLog.log:173 | Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-11-27 09:07:04.987 GMT | main | INFO | org.apache.juli.logging.DirectJDKLog.log:173 | Initializing Spring embedded WebApplicationContext
2023-11-27 09:07:04.988 GMT | main | INFO | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:290 | Root WebApplicationContext: initialization completed in 5443 ms
2023-11-27 09:07:06.455 GMT | main | INFO | com.mongodb.diagnostics.logging.SLF4JLogger.info:71 | Cluster created with settings {hosts=[mongo-database:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2023-11-27 09:07:06.817 GMT | cluster-ClusterId{value='65645c3a3e96093c3eda507a', description='null'}-mongo-database:27017 | INFO | com.mongodb.diagnostics.logging.SLF4JLogger.info:71 | Opened connection [connectionId{localValue:1, serverValue:9}] to mongo-database:27017
2023-11-27 09:07:06.817 GMT | cluster-rtt-ClusterId{value='65645c3a3e96093c3eda507a', description='null'}-mongo-database:27017 | INFO | com.mongodb.diagnostics.logging.SLF4JLogger.info:71 | Opened connection [connectionId{localValue:2, serverValue:8}] to mongo-database:27017
2023-11-27 09:07:06.817 GMT | cluster-ClusterId{value='65645c3a3e96093c3eda507a', description='null'}-mongo-database:27017 | INFO | com.mongodb.diagnostics.logging.SLF4JLogger.info:71 | Monitor thread successfully connected to server with description ServerDescription{address=mongo-database:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=108546431}
2023-11-27 09:07:12.557 GMT | main | INFO | org.apache.juli.logging.DirectJDKLog.log:173 | Starting ProtocolHandler ["http-nio-8080"]
2023-11-27 09:07:12.608 GMT | main | INFO | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:220 | Tomcat started on port(s): 8080 (http) with context path '/citywanderbackend'
2023-11-27 09:07:12.643 GMT | main | INFO | org.springframework.boot.StartupInfoLogger.logStarted:61 | Started CityWanderBackend in 14.5 seconds (JVM running for 16.943)
